x,y,z,walker
50.2817,0.58916,34.6441,2
49.382,0.519302,25.9116,2
49.382,0.519302,25.9116,2
49.3407,0.529414,32.9568,2
49.6597,0.728985,36.0064,2
49.6597,0.728985,36.0064,2
49.6597,0.728985,36.0064,2
49.7491,0.801554,44.6175,2
49.7491,0.801554,44.6175,2
49.8806,2.88157,35.9845,3
49.7413,1.16932,29.0566,3
49.7491,1.2546,28.0561,3
49.7491,1.2546,28.0561,3
49.525,1.21447,30.2538,3
49.5761,1.17939,28.266,3
49.7201,1.29593,26.8336,3
50.0989,1.54654,23.3156,3
50.3445,1.78864,21.6192,3
50.807,2.36127,20.0589,3
50.9094,2.5369,21.4402,3
50.8877,2.54485,23.8915,3
51.3675,3.17154,26.7665,3
50.378,2.64238,21.5971,3
50.0263,2.00758,12.4543,3
49.8258,1.6791,12.6501,3
49.3881,1.76829,21.5899,3
49.3881,1.76829,21.5899,3
49.3881,1.76829,21.5899,3
49.3881,1.76829,21.5899,3
48.9622,1.05782,15.0573,3
48.9622,1.05782,15.0573,3
49.2061,1.05011,15.1549,3
48.9247,1.43659,8.81325,3
49.6357,1.30238,14.4624,3
49.5783,1.23341,12.1921,3
49.5783,1.23341,12.1921,3
50.4877,1.86383,9.41342,3
50.2749,1.58191,14.0614,3
50.2749,1.58191,14.0614,3
50.3515,1.59495,12.474,3
50.5987,1.72832,10.8927,3
50.685,1.72338,11.6543,3
50.69,1.8744,13.8094,3
50.9157,2.11628,10.857,3
50.9157,2.11628,10.857,3
50.9157,2.11628,10.857,3
51.1266,1.9584,14.3362,3
51.3008,1.90633,15.4481,3
51.2141,1.93647,26.6871,3
52.1097,1.92815,39.0671,3
52.1097,1.92815,39.0671,3
52.1097,1.92815,39.0671,3
52.1097,1.92815,39.0671,3
51.86,1.86701,36.4213,3
51.2455,1.66121,33.6356,3
51.2455,1.66121,33.6356,3
51.4254,1.66442,34.2125,3
50.1911,0.723754,7.64599,3
49.9819,0.986584,16.1071,3
49.9819,0.986584,16.1071,3
50.8276,1.123,43.2299,4
50.567,1.05857,56.6034,4
49.9265,1.34199,29.0899,4
49.3558,1.15304,28.3712,4
49.2111,1.12404,29.4374,4
49.2725,1.09983,33.46,4
49.9711,1.19809,28.7314,4
49.824,2.02918,40.0397,4
49.824,2.02918,40.0397,4
49.4106,2.46427,42.8895,4
49.4064,2.21933,37.9642,4
50.219,3.18641,42.2103,4
49.9971,3.28206,47.1417,4
50.157,2.76111,43.1374,4
50.157,2.76111,43.1374,4
50.157,2.76111,43.1374,4
50.157,2.76111,43.1374,4
50.157,2.76111,43.1374,4
50.239,2.9379,44.7374,4
50.239,2.9379,44.7374,4
50.239,2.9379,44.7374,4
50.0986,3.21703,50.9595,4
49.9719,2.94616,47.0913,4
49.9719,2.94616,47.0913,4
49.9719,2.94616,47.0913,4
49.9454,2.83845,46.5316,4
50.0082,2.54012,40.8451,4
50.2754,3.31236,51.0872,4
50.2888,3.24634,47.495,4
50.2888,3.24634,47.495,4
50.2824,2.73241,35.219,4
50.2817,2.73132,35.2022,4
49.9897,2.46207,32.8254,4
49.9897,2.46207,32.8254,4
49.9897,2.46207,32.8254,4
50.129,3.12917,34.499,4
49.9882,3.27542,47.4437,4
50.5562,2.61823,30.923,4
